rank,spanish,pos,zipf,band,note
0,de,n pr,7.81,first,
1,la,det n,7.56,first,
2,que,cnj prn,7.52,first,
3,el,det,7.45,first,
4,en,pr,7.45,first,
5,no,adv ij n,7.16,first,
6,por,ij pr,7.04,first,
7,con,pr,6.97,first,
8,para,n pr,6.92,first,
9,más,adv cnj det,6.63,first,
10,si,cnj,6.59,first,
11,pero,cnj n,6.57,first,
12,te,n,6.52,first,
13,mi,n,6.43,first,
14,le,prn,6.4,first,
15,este,det ij n,6.37,first,
16,sus,adj ij,6.37,first,check: commoner as a form of su
17,todo,det prn,6.35,first,
18,ya,adv cnj ij,6.33,first,
19,cuando,adv cnj,6.29,first,
20,yo,n prn,6.29,first,
21,ser,n vblex,6.27,first,
22,sin,pr,6.24,first,
23,sobre,n pr,6.19,first,
24,también,adv,6.19,first,
25,porque,cnj,6.14,first,
26,qué,adv det ij prn,6.13,first,
27,dos,n num,6.12,first,
28,bien,adj adv cnj n,6.11,first,
29,desde,pr,6.1,first,
30,hasta,adv pr,6.09,first,
31,hacer,n vblex,6.07,first,
32,ahora,adv cnj,6.05,first,
33,era,n,6.05,first,
34,vez,n,6.04,first,
35,nada,adv n prn,6.02,first,
36,ni,adv cnj n,6.02,first,
37,donde,adv cnj pr prn,6.01,first,
38,parte,n,6.0,first,
39,solo,adj adv,6.0,first,
40,algo,adv prn,5.99,first,
41,tiempo,n,5.97,first,
42,día,n,5.96,first,
43,mejor,adj adv,5.95,first,
44,mucho,adv det prn,5.95,first,
45,tan,adv det,5.95,first,
46,ver,vblex,5.95,first,
47,vida,n,5.95,first,
48,ese,det ij n,5.93,first,
49,mismo,adj adv,5.93,first,
50,siempre,adv,5.93,first,
51,cada,adv det,5.9,first,
52,después,adv,5.9,first,
53,gente,n,5.9,first,
54,estado,n,5.89,first,
55,mundo,n,5.89,first,
56,año,n,5.88,first,
57,otro,det ij prn,5.87,first,
58,gracias,ij n,5.86,first,
59,menos,adv cnj det n pr,5.84,first,
60,nunca,adv,5.84,first,
61,tanto,adv cnj det n prn,5.84,first,
62,poco,adv det n,5.82,first,
63,tener,vblex,5.81,first,
64,trabajo,n,5.81,first,
65,durante,pr,5.8,first,
66,lugar,n,5.8,first,
67,cómo,adv ij n,5.79,first,
68,hecho,adj n,5.79,first,
69,aunque,cnj,5.78,first,
70,contra,adv n pr,5.78,first,
71,cuenta,n,5.78,first,
72,decir,n vblex,5.78,first,
73,gobierno,n,5.78,first,
74,país,n,5.78,first,
75,casa,n,5.77,first,
76,forma,n,5.77,first,
77,he,adv ij n,5.77,first,
78,nuevo,adj,5.77,first,
79,él,prn,5.76,first,
80,aquí,adv,5.75,first,
81,ella,prn,5.75,first,
82,sí,adv ij n prn,5.75,first,
83,estar,vblex,5.74,first,
84,hoy,adv,5.74,first,
85,alguien,prn,5.73,first,
86,quien,prn,5.72,first,
87,tres,num,5.72,first,
88,caso,n,5.71,first,
89,momento,n,5.71,first,
90,bueno,adj ij,5.7,first,
91,ciudad,n,5.7,first,
92,nuestro,det prn,5.7,first,
93,luego,adv cnj,5.69,first,
94,nacional,adj n,5.69,first,
95,poder,n vblex,5.68,first,
96,pues,cnj,5.68,first,
97,verdad,ij n,5.68,first,
98,historia,n,5.67,first,
99,mientras,adv cnj,5.67,first,
100,nadie,n prn,5.67,first,
101,cual,adv prn,5.65,first,
102,entonces,adv,5.65,first,
103,ir,vblex,5.65,first,
104,tipo,adj adv n,5.65,first,
105,general,adj n,5.64,first,
106,mayor,n,5.64,first,
107,tal,adj prn,5.64,first,
108,mal,adv n,5.62,first,
109,según,pr,5.62,first,
110,acuerdo,n,5.61,first,
111,dios,n,5.61,first,
112,manera,n,5.61,first,
113,nombre,ij n,5.61,first,
114,ley,n,5.6,first,
115,medio,adj adv n,5.6,first,
116,partido,adj n,5.6,first,
117,bajo,adj adv n pr,5.59,first,
118,hacia,pr,5.59,first,
119,sino,cnj n,5.59,first,
120,grupo,n,5.58,first,
121,haber,n vblex,5.58,first,
122,hombre,ij n,5.58,first,
123,mujer,n,5.57,first,
124,persona,n vblex,5.56,first,
125,sistema,n,5.56,first,
126,casi,adv,5.55,first,
127,fin,n,5.55,first,
128,noche,adv n,5.55,first,
129,nosotros,prn,5.55,first,
130,pasado,adj n,5.55,first,
131,presidente,n,5.55,first,
132,ahí,adv,5.53,first,
133,cosa,n,5.53,first,
134,familia,n,5.53,first,
135,lado,n,5.53,first,
136,aún,adv,5.52,first,
137,pueblo,n,5.51,first,
138,final,adj n,5.5,first,
139,política,n,5.5,first,
140,problema,n,5.5,first,
141,punto,ij n,5.5,first,
142,agua,n,5.49,first,
143,equipo,n,5.49,first,
144,guerra,n,5.49,first,
145,saber,n vblex,5.49,first,
146,van,n,5.49,first,
147,ante,n pr,5.48,first,
148,dar,vblex,5.48,first,
149,embargo,n,5.48,first,
150,favor,n,5.48,first,
151,importante,adj,5.48,first,
152,información,n,5.48,first,
153,mañana,adv n,5.48,first,
154,pasa,n,5.48,first,
155,semana,n,5.48,first,
156,claro,adj adv ij n,5.47,first,
157,dinero,n,5.47,first,
158,san,n,5.47,first,
159,social,adj,5.47,first,
160,ejemplo,n,5.46,first,
161,igual,adj adv n,5.46,first,
162,número,n,5.46,first,
163,hablar,vblex,5.45,first,
164,hora,n,5.45,first,
165,madre,n,5.45,first,
166,señor,adj n,5.45,first,
167,centro,n,5.44,first,
168,derecho,adj adv n,5.44,first,
169,falta,n,5.44,first,
170,cambio,ij n,5.43,first,
171,idea,n,5.43,first,
172,mierda,ij n prn,5.43,first,
173,muerte,n,5.43,first,
174,tarde,adj adv n,5.43,first,
175,tras,pr,5.43,first,
176,través,n,5.43,first,
177,tú,ij prn,5.43,first,
178,realidad,n,5.42,first,
179,amor,n,5.41,first,
180,dicho,adj det n,5.41,first,check: commoner as a form of decir
181,frente,n,5.41,first,
182,incluso,adj adv,5.41,first,
183,primero,adj adv n,5.41,first,
184,real,adj ij n,5.41,first,
185,cuatro,n num,5.4,first,
186,desarrollo,n,5.4,first,
187,hijo,n,5.4,first,
188,sociedad,n,5.4,first,
189,tema,n,5.4,first,
190,mí,prn,5.39,first,
191,nivel,n,5.39,first,
192,seguro,adj adv n,5.39,first,
193,juego,n,5.38,first,
194,llegar,vblex,5.38,first,
195,mano,n,5.38,first,
196,paso,adj n,5.38,first,
197,posible,adj,5.38,first,
198,proyecto,n,5.38,first,
199,uso,n,5.38,first,
200,artículo,n,5.37,first,
201,cerca,adv n,5.37,first,
202,cierto,adj det,5.37,first,
203,grande,adj n,5.37,first,
204,quién,prn,5.37,first,
205,razón,n,5.37,first,
206,todavía,adv,5.37,first,
207,amigo,ij n,5.36,first,
208,mayoría,n,5.36,first,
209,padre,adj n,5.36,first,
210,salir,vblex,5.36,first,
211,seguridad,n,5.36,first,
212,tierra,n,5.36,first,
213,único,adj,5.36,first,
214,cuerpo,n,5.35,first,
215,programa,n,5.35,first,
216,segundo,adj n,5.35,first,
217,universidad,n,5.35,first,
218,último,adj,5.35,first,
219,cabeza,n,5.34,first,
220,foto,n,5.34,first,
221,internacional,adj,5.34,first,
222,mil,n num,5.34,first,
223,pasar,vblex,5.34,first,
224,público,adj n,5.34,first,
225,seguir,vblex,5.34,first,
226,servicio,n,5.34,first,
227,situación,n,5.34,first,
228,ayuda,n,5.33,first,
229,libro,n,5.33,first,
230,siguiente,adj,5.33,first,
231,dejar,vblex,5.32,first,
232,educación,n,5.32,first,
233,proceso,n,5.32,first,
234,sentido,adj n,5.32,first,
235,cinco,n num,5.31,first,
236,clase,n,5.31,first,
237,cuanto,adv det n prn,5.31,first,
238,ello,n prn,5.31,first,
239,mes,n,5.31,first,
240,usted,prn,5.31,first,
241,largo,adj ij n,5.3,first,
242,orden,n,5.3,first,
243,puesto,adj n,5.3,first,
244,realmente,adv,5.3,first,
245,alto,adj adv ij n,5.29,first,
246,demás,adj adv prn,5.29,first,
247,español,adj n,5.29,first,
248,junto,adj adv pr,5.29,first,
249,lista,n,5.29,first,
250,personal,adj n,5.29,first,
251,total,adj adv n,5.29,first,
252,trata,n,5.29,first,
253,video,n,5.29,first,
254,web,n,5.29,first,
255,base,n,5.28,first,
256,camino,n,5.28,first,
257,empresa,n,5.28,first,
258,especial,adj n,5.28,first,
259,hola,ij,5.28,first,
260,paz,n,5.28,first,
261,policía,n,5.28,first,
262,queda,n,5.28,first,
263,salud,ij n,5.28,first,
264,sitio,n,5.28,first,
265,tomar,vblex,5.28,first,
266,zona,n,5.28,first,
267,calle,n,5.27,first,
268,cara,n,5.27,first,
269,línea,n,5.27,first,
270,mundial,adj n,5.27,first,
271,obra,n,5.27,first,
272,pensar,vblex,5.27,first,
273,allí,adv,5.26,first,
274,atención,n,5.26,first,
275,escuela,n,5.26,first,
276,julio,n,5.26,first,
277,respecto,n,5.26,first,
278,ve,n,5.26,first,"check: commoner as a form of ir, ver"
279,vivir,n vblex,5.26,first,
280,capital,adj n,5.25,first,
281,libre,adj,5.25,first,
282,luz,n,5.25,first,
283,población,n,5.25,first,
284,relación,n,5.25,first,
285,suerte,ij n,5.25,first,
286,bastante,adj adv,5.24,first,
287,cultura,n,5.24,first,
288,difícil,adj,5.24,first,
289,fuerte,adj adv n,5.24,first,
290,fácil,adj adv,5.24,first,
291,habla,n,5.24,first,
292,miedo,n,5.24,first,
293,música,n,5.24,first,
294,poner,vblex,5.24,first,
295,pregunta,n,5.24,first,
296,rey,n,5.24,first,
297,vos,prn,5.24,first,
298,apoyo,n,5.23,first,
299,dado,n pr,5.23,first,
300,deja,n,5.23,core,
301,demasiado,adj adv,5.23,core,
302,fuerza,n,5.23,core,
303,mayo,n,5.23,core,
304,oficial,adj n,5.23,core,
305,propio,adj,5.23,core,
306,chile,n,5.22,core,
307,control,n,5.22,core,
308,encontrar,vblex,5.22,core,
309,inglés,adj n,5.22,core,
310,marzo,n,5.22,core,
311,serie,n,5.22,core,
312,sur,n,5.22,core,
313,trabajar,vblex,5.22,core,
314,edad,n,5.21,core,
315,futuro,adj n,5.21,core,
316,justicia,n,5.21,core,
317,libertad,n,5.21,core,
318,pesar,n vblex,5.21,core,
319,tampoco,adv,5.21,core,
320,allá,adv,5.2,core,
321,cantidad,adv n,5.2,core,
322,corazón,n,5.2,core,
323,diciembre,n,5.2,core,
324,imagen,n,5.2,core,
325,norte,adj n,5.2,core,
326,octubre,n,5.2,core,
327,político,adj n,5.2,core,
328,principal,adj n,5.2,core,
329,vista,n,5.2,core,
330,volver,vblex,5.2,core,
331,voz,n,5.2,core,
332,actual,adj n,5.19,core,
333,ambos,adj prn,5.19,core,
334,estudio,n,5.19,core,
335,media,n,5.19,core,check: commoner as a form of medio
336,mira,ij n,5.19,core,
337,modo,n,5.19,core,
338,palabra,n,5.19,core,
339,abril,n,5.18,core,
340,campo,n,5.18,core,
341,internet,n,5.18,core,
342,joven,adj n,5.18,core,
343,plan,n,5.18,core,
344,región,n,5.18,core,
345,comunidad,n,5.17,core,
346,dirección,n,5.17,core,
347,investigación,n,5.17,core,
348,junio,n,5.17,core,
349,partir,vblex,5.17,core,
350,película,n,5.17,core,
351,república,n,5.17,core,
352,resto,n,5.17,core,
353,vuelta,n,5.17,core,
354,consejo,n,5.16,core,
355,dan,n,5.16,core,check: commoner as a form of dar
356,dónde,adv n,5.16,core,
357,llamado,adj n,5.16,core,
358,mercado,n,5.16,core,
359,movimiento,n,5.16,core,
360,noviembre,n,5.16,core,
361,papel,n,5.16,core,
362,precio,n,5.16,core,
363,respuesta,n,5.16,core,
364,seis,num,5.16,core,
365,simplemente,adv,5.16,core,
366,agosto,n,5.15,core,
367,aun,adv,5.15,core,
368,cargo,n,5.15,core,
369,comida,n,5.15,core,
370,enero,n,5.15,core,
371,experiencia,n,5.15,core,
372,jefe,n,5.15,core,
373,leer,vblex,5.15,core,
374,llama,n,5.15,core,
375,llevar,vblex,5.15,core,
376,pena,n,5.15,core,
377,producción,n,5.15,core,
378,siglo,n,5.15,core,
379,cabo,n,5.14,core,
380,común,adj n,5.14,core,
381,economía,n,5.14,core,
382,espacio,n,5.14,core,
383,febrero,n,5.14,core,
384,opinión,n,5.14,core,
385,oportunidad,n,5.14,core,
386,organización,n,5.14,core,
387,página,n,5.14,core,
388,santa,n,5.14,core,
389,vale,ij n,5.14,core,
390,acción,ij n,5.13,core,
391,arte,n,5.13,core,
392,conocer,vblex,5.13,core,
393,plaza,n,5.13,core,
394,septiembre,n,5.13,core,
395,usar,vblex,5.13,core,
396,valor,n,5.13,core,
397,vivo,adj,5.13,core,
398,calidad,n,5.12,core,
399,causa,n,5.12,core,
400,central,adj n,5.12,core,
401,director,n,5.12,core,
402,duda,n,5.12,core,
403,fecha,n,5.12,core,
404,feliz,adj,5.12,core,
405,iglesia,n,5.12,core,
406,necesario,adj,5.12,core,
407,pronto,adj adv,5.12,core,
408,resultado,n,5.12,core,
409,alta,n,5.11,core,
410,cambiar,vblex,5.11,core,
411,civil,adj,5.11,core,
412,hermano,n,5.11,core,
413,local,adj n,5.11,core,
414,mar,n,5.11,core,
415,viaje,n,5.11,core,
416,acá,adj adv,5.1,core,
417,alrededor,adv n,5.1,core,
418,campaña,n,5.1,core,
419,carrera,n,5.1,core,
420,ejército,n,5.1,core,
421,interés,n,5.1,core,
422,mensaje,n,5.1,core,
423,negro,adj n,5.1,core,
424,niño,n,5.1,core,
425,objetivo,adj n,5.1,core,
426,popular,adj n,5.1,core,
427,principio,n,5.1,core,
428,provincia,n,5.1,core,
429,red,n,5.1,core,
430,río,n,5.1,core,
431,ah,ij,5.09,core,
432,ayer,adv n,5.09,core,
433,blanco,adj n,5.09,core,
434,comer,n vblex,5.09,core,
435,compañía,n,5.09,core,
436,especialmente,adv,5.09,core,
437,ganar,vblex,5.09,core,
438,interior,adj n,5.09,core,
439,lucha,n,5.09,core,
440,mediante,pr,5.09,core,
441,nota,n,5.09,core,
442,pequeño,adj,5.09,core,
443,prueba,n,5.09,core,
444,sol,n,5.09,core,
445,vaya,ij n,5.09,core,check: commoner as a form of ir
446,anterior,adj,5.08,core,
447,buscar,vblex,5.08,core,
448,justo,adj adv,5.08,core,
449,medida,n,5.08,core,
450,éxito,n,5.08,core,
451,aire,ij n,5.07,core,
452,autor,n,5.07,core,
453,baja,n,5.07,core,check: commoner as a form of bajo
454,diferencia,n,5.07,core,
455,dije,adj n,5.07,core,check: commoner as a form of decir
456,entrar,vblex,5.07,core,
457,estilo,n,5.07,core,
458,ex,adj n,5.07,core,
459,lejos,adv,5.07,core,
460,luis,n,5.07,core,
461,mala,n,5.07,core,
462,maría,n,5.07,core,
463,militar,adj n vblex,5.07,core,
464,muestra,n,5.07,core,
465,oro,adj n,5.07,core,
466,par,adj n,5.07,core,
467,plata,adj n,5.07,core,
468,puerta,n,5.07,core,
469,ayudar,vblex,5.06,core,
470,canción,n,5.06,core,
471,color,n,5.06,core,
472,contigo,adv,5.06,core,
473,defensa,n,5.06,core,
474,fondo,n,5.06,core,
475,fútbol,n,5.06,core,
476,hija,n,5.06,core,
477,menor,n,5.06,core,
478,ministerio,n,5.06,core,
479,puerto,n,5.06,core,
480,recuerdo,n,5.06,core,
481,acceso,n,5.05,core,
482,busca,n,5.05,core,
483,comunicación,n,5.05,core,
484,congreso,n,5.05,core,
485,espera,n,5.05,core,
486,evitar,vblex,5.05,core,
487,finalmente,adv,5.05,core,
488,fuente,n,5.05,core,
489,jugar,vblex,5.05,core,
490,ministro,n,5.05,core,
491,puta,ij n,5.05,core,
492,siquiera,adv cnj,5.05,core,
493,época,n,5.05,core,
494,actividad,n,5.04,core,
495,banco,n,5.04,core,
496,conocido,adj n,5.04,core,
497,conseguir,vblex,5.04,core,
498,construcción,n,5.04,core,
499,corte,n,5.04,core,
500,cualquiera,det n prn,5.04,core,
501,departamento,n,5.04,core,
502,diez,n num,5.04,core,
503,mitad,n,5.04,core,
504,oficina,n,5.04,core,
505,presente,adj n,5.04,core,
506,sector,n,5.04,core,
507,serio,adj,5.04,core,
508,superior,adj n,5.04,core,
509,supuesto,adj n,5.04,core,
510,boca,n,5.03,core,
511,capacidad,n,5.03,core,
512,comprar,vblex,5.03,core,
513,crear,vblex,5.03,core,
514,diferente,adj adv,5.03,core,
515,energía,n,5.03,core,
516,esperar,vblex,5.03,core,
517,malo,adj n,5.03,core,
518,mantener,vblex,5.03,core,
519,modelo,n,5.03,core,
520,natural,adj n,5.03,core,
521,necesidad,n,5.03,core,
522,radio,n,5.03,core,
523,viejo,adj n,5.03,core,
524,administración,n,5.02,core,
525,comisión,n,5.02,core,
526,conmigo,adv,5.02,core,
527,costa,n,5.02,core,
528,crisis,n,5.02,core,
529,culpa,n,5.02,core,
530,cámara,n,5.02,core,
531,diario,adj n,5.02,core,
532,domingo,n,5.02,core,
533,empezar,vblex,5.02,core,
534,entender,n vblex,5.02,core,
535,fuego,ij n,5.02,core,
536,perder,vblex,5.02,core,
537,posición,n,5.02,core,
538,suficiente,adj,5.02,core,
539,título,n,5.02,core,
540,actualmente,adv,5.01,core,
541,creer,vblex,5.01,core,
542,llamada,n,5.01,core,
543,mamá,n,5.01,core,
544,participación,n,5.01,core,
545,sangre,n,5.01,core,
546,toma,n,5.01,core,
547,violencia,n,5.01,core,
548,auto,n,5.0,core,
549,brasil,n,5.0,core,
550,carta,n,5.0,core,
551,china,n,5.0,core,
552,cuál,det prn,5.0,core,
553,probablemente,adv,5.0,core,
554,rápido,adj adv n,5.0,core,
555,solamente,adv,5.0,core,
556,área,n,5.0,core,
557,banda,n,4.99,core,
558,colegio,n,4.99,core,
559,contenido,n,4.99,core,
560,decisión,n,4.99,core,
561,encuentro,n,4.99,core,
562,entrada,n,4.99,core,
563,fiesta,n,4.99,core,
564,imposible,adj,4.99,core,
565,pagar,vblex,4.99,core,
566,televisión,n,4.99,core,
567,unión,n,4.99,core,
568,vía,n pr,4.99,core,
569,atrás,adv ij,4.98,core,
570,capaz,adj adv,4.98,core,
571,club,n,4.98,core,
572,error,n,4.98,core,
573,gusto,n,4.98,core,
574,normal,adj n,4.98,core,
575,sexo,n,4.98,core,
576,siete,n num,4.98,core,
577,texto,n,4.98,core,
578,análisis,n,4.97,core,
579,constitución,n,4.97,core,
580,contrario,adj,4.97,core,
581,código,n,4.97,core,
582,dolor,n,4.97,core,
583,efecto,n,4.97,core,
584,isla,n,4.97,core,
585,izquierda,n,4.97,core,
586,mente,n,4.97,core,
587,odio,n,4.97,core,
588,pienso,n,4.97,core,
589,post,n,4.97,core,
590,presencia,n,4.97,core,
591,profesor,n,4.97,core,
592,respeto,n,4.97,core,
593,ropa,n,4.97,core,
594,totalmente,adv,4.97,core,
595,versión,n,4.97,core,
596,cielo,n,4.96,core,
597,cine,n,4.96,core,
598,cuestión,n,4.96,core,
599,escribir,vblex,4.96,core,
600,formación,n,4.96,core,
601,importancia,n,4.96,core,
602,industria,n,4.96,core,
603,instituto,n,4.96,core,
604,loco,adj n,4.96,core,
605,origen,n,4.96,core,
606,premio,n,4.96,core,
607,re,adv n,4.96,core,
608,rico,adj,4.96,core,
609,simple,adj n,4.96,core,
610,unidad,n,4.96,core,
611,vino,n,4.96,core,
612,canal,n,4.95,core,
613,cultural,adj,4.95,core,
614,derecha,n,4.95,core,check: commoner as a form of derecho
615,escrito,adj n,4.95,core,
616,interesante,adj,4.95,core,
617,jamás,adv,4.95,core,
618,juicio,n,4.95,core,
619,noticia,n,4.95,core,
620,original,adj,4.95,core,
621,peso,n,4.95,core,
622,pobre,adj,4.95,core,
623,prensa,n,4.95,core,
624,propiedad,n,4.95,core,
625,revolución,n,4.95,core,
626,victoria,n,4.95,core,
627,éste,prn,4.95,core,
628,alma,n,4.94,core,
629,asunto,n,4.94,core,
630,completamente,adv,4.94,core,
631,conocimiento,n,4.94,core,
632,hospital,n,4.94,core,
633,humano,adj n,4.94,core,
634,marcha,n,4.94,core,
635,pie,n,4.94,core,
636,tecnología,n,4.94,core,
637,verano,n,4.94,core,
638,aprender,vblex,4.93,core,
639,conjunto,adj n,4.93,core,
640,cuarto,adj n,4.93,core,
641,curso,n,4.93,core,
642,democracia,n,4.93,core,
643,don,n,4.93,core,
644,fe,n,4.93,core,
645,género,n,4.93,core,
646,muerto,adj n,4.93,core,
647,nación,n,4.93,core,
648,negocio,n,4.93,core,
649,ocho,n num,4.93,core,
650,particular,adj n,4.93,core,
651,posibilidad,n,4.93,core,
652,profesional,adj n,4.93,core,
653,régimen,n,4.93,core,
654,suelo,n,4.93,core,
655,visita,n,4.93,core,
656,ambiente,n,4.92,core,
657,ataque,n,4.92,core,
658,cuba,n,4.92,core,
659,económico,adj,4.92,core,
660,edificio,n,4.92,core,
661,federal,adj n,4.92,core,
662,lengua,n,4.92,core,
663,mesa,n,4.92,core,
664,naturaleza,n,4.92,core,
665,pago,n,4.92,core,
666,protección,n,4.92,core,
667,sala,n,4.92,core,
668,señora,n,4.92,core,check: commoner as a form of señor
669,sueño,n,4.92,core,
670,teléfono,n,4.92,core,
671,transporte,n,4.92,core,
672,acto,n,4.91,core,
673,asociación,n,4.91,core,
674,completo,adj n,4.91,core,
675,cuidado,adj ij n,4.91,core,
676,deseo,n,4.91,core,
677,detrás,adv pr,4.91,core,
678,directamente,adv,4.91,core,
679,doctor,n,4.91,core,
680,edición,n,4.91,core,
681,escuchar,vblex,4.91,core,
682,informe,adj n,4.91,core,
683,material,adj n,4.91,core,
684,pareja,n,4.91,core,
685,perfecto,adj,4.91,core,
686,venta,n,4.91,core,
687,confianza,n,4.9,core,
688,creación,n,4.9,core,
689,destino,n,4.9,core,
690,especie,n,4.9,core,
691,esposa,n,4.9,core,
692,hambre,n,4.9,core,
693,legal,adj,4.9,core,
694,obtener,vblex,4.9,core,
695,pedir,vblex,4.9,core,
696,perro,adj n,4.9,core,
697,propuesta,n,4.9,core,
698,responsabilidad,n,4.9,core,
699,reunión,n,4.9,core,
700,revista,n,4.9,core,
701,solución,n,4.9,core,
702,territorio,n,4.9,core,
703,to,ij,4.9,core,
704,viernes,n,4.9,core,
705,aplicación,n,4.89,core,
706,aumento,n,4.89,core,
707,cama,n,4.89,core,
708,ciencia,n,4.89,core,
709,distancia,n,4.89,core,
710,doble,adj n,4.89,core,
711,marca,n,4.89,core,
712,memoria,n,4.89,core,
713,motivo,n,4.89,core,
714,opción,n,4.89,core,
715,pase,n,4.89,core,check: commoner as a form of pasar
716,práctica,n,4.89,core,
717,realizar,vblex,4.89,core,
718,referencia,n,4.89,core,
719,reforma,n,4.89,core,
720,reino,n,4.89,core,
721,riesgo,n,4.89,core,
722,sacar,vblex,4.89,core,
723,sentir,n vblex,4.89,core,
724,silencio,n,4.89,core,
725,temporada,n,4.89,core,
726,terminar,vblex,4.89,core,
727,comercio,n,4.88,core,
728,daño,n,4.88,core,
729,esfuerzo,n,4.88,core,
730,gratis,adj adv,4.88,core,
731,miembro,n,4.88,core,
732,médico,adj n,4.88,core,
733,producto,n,4.88,core,
734,próximo,adj,4.88,core,
735,salida,n,4.88,core,
736,selección,n,4.88,core,
737,contacto,n,4.87,core,
738,contar,vblex,4.87,core,
739,crecimiento,n,4.87,core,
740,excelente,adj,4.87,core,
741,función,n,4.87,core,
742,independencia,n,4.87,core,
743,plazo,n,4.87,core,
744,santo,adj n,4.87,core,
745,tv,n,4.87,core,
746,término,n,4.87,core,
747,verdadero,adj n,4.87,core,
748,verde,adj n,4.87,core,
749,voto,n,4.87,core,
750,corrupción,n,4.86,core,
751,cruz,n,4.86,core,
752,dormir,vblex,4.86,core,
753,esperanza,n,4.86,core,
754,fiscal,adj n,4.86,core,
755,hermana,n,4.86,core,
756,ido,adj n,4.86,core,check: commoner as a form of ir
757,líder,n,4.86,core,
758,rato,n,4.86,core,
759,tratar,vblex,4.86,core,
760,tribunal,n,4.86,core,
761,usuario,n,4.86,core,
762,amo,n,4.85,core,
763,barrio,n,4.85,core,
764,chico,adj n,4.85,core,
765,ciento,n num,4.85,core,
766,comercial,adj n,4.85,core,
767,copa,n,4.85,core,
768,elección,n,4.85,core,
769,exterior,adj n,4.85,core,
770,honor,n,4.85,core,
771,llamar,vblex,4.85,core,
772,mejorar,vblex,4.85,core,
773,miguel,prn,4.85,core,
774,morir,vblex,4.85,core,
775,parque,n,4.85,core,
776,triste,adj,4.85,core,
777,alguno,det prn,4.84,core,
778,contrato,n,4.84,core,
779,debate,n,4.84,core,
780,diseño,n,4.84,core,
781,electoral,adj,4.84,core,
782,hogar,n,4.84,core,
783,mando,n,4.84,core,
784,niña,n,4.84,core,
785,recibir,vblex,4.84,core,
786,rojo,adj n,4.84,core,
787,similar,adj,4.84,core,
788,argentino,adj n,4.83,core,
789,azul,adj n,4.83,core,
790,carne,n,4.83,core,
791,cumplir,vblex,4.83,core,
792,discurso,n,4.83,core,
793,entrevista,n,4.83,core,
794,estudiar,vblex,4.83,core,
795,expresión,n,4.83,core,
796,extraño,adj n,4.83,core,
797,increíble,adj,4.83,core,
798,inicio,n,4.83,core,
799,juez,n,4.83,core,
800,maestro,adj n,4.83,common,
801,marco,n,4.83,common,
802,materia,n,4.83,common,
803,ninguno,det prn,4.83,common,
804,oposición,n,4.83,common,
805,registro,n,4.83,common,
806,teatro,n,4.83,common,
807,asamblea,n,4.82,common,
808,caja,n,4.82,common,
809,empleo,n,4.82,common,
810,enfermedad,n,4.82,common,
811,escena,n,4.82,common,
812,estructura,n,4.82,common,
813,golpe,n,4.82,common,
814,grado,n,4.82,common,
815,lleno,adj,4.82,common,
816,matrimonio,n,4.82,common,
817,misión,n,4.82,common,
818,pan,n,4.82,common,
819,parecer,n vblex,4.82,common,
820,participar,vblex,4.82,common,
821,peligro,n,4.82,common,
822,pelo,n,4.82,common,
823,presión,n,4.82,common,
824,sección,n,4.82,common,
825,tercera,n,4.82,common,
826,venir,vblex,4.82,common,
827,batalla,n,4.81,common,
828,café,adj n,4.81,common,
829,carácter,n,4.81,common,
830,duro,adj n,4.81,common,
831,eh,ij,4.81,common,
832,estación,n,4.81,common,
833,evento,n,4.81,common,
834,francés,adj n,4.81,common,
835,gana,n,4.81,common,
836,independiente,adj,4.81,common,
837,intento,n,4.81,common,
838,japón,adj,4.81,common,
839,lunes,n,4.81,common,
840,operación,n,4.81,common,
841,papa,n,4.81,common,
842,perdón,ij n,4.81,common,
843,planta,n,4.81,common,
844,teoría,n,4.81,common,
845,baño,n,4.8,common,
846,compra,n,4.8,common,
847,concepto,n,4.8,common,
848,dicha,n,4.8,common,check: commoner as a form of dicho
849,directo,adj n,4.8,common,
850,enorme,adj,4.8,common,
851,exactamente,adv,4.8,common,
852,festival,n,4.8,common,
853,gobernador,adj n,4.8,common,
854,hotel,n,4.8,common,
855,lograr,vblex,4.8,common,
856,matar,vblex,4.8,common,
857,período,n,4.8,common,
858,piel,n,4.8,common,
859,principalmente,adv,4.8,common,
860,raro,adj,4.8,common,
861,responsable,adj n,4.8,common,
862,tamaño,adj n,4.8,common,
863,abierto,adj n,4.79,common,
864,blanca,n,4.79,common,
865,clave,adj n,4.79,common,
866,compartir,vblex,4.79,common,
867,crítica,n,4.79,common,
868,demanda,n,4.79,common,
869,ecuador,n,4.79,common,
870,luna,n,4.79,common,
871,ojo,ij n,4.79,common,
872,personaje,n,4.79,common,
873,piso,n,4.79,common,
874,pro,adj n pr,4.79,common,
875,quizá,adv,4.79,common,
876,recién,adv,4.79,common,
877,reina,n,4.79,common,
878,salvo,adj adv cnj,4.79,common,
879,sábado,n,4.79,common,
880,velocidad,n,4.79,common,
881,visión,n,4.79,common,
882,alcalde,n,4.78,common,
883,altura,n,4.78,common,
884,candidato,n,4.78,common,
885,comentario,n,4.78,common,
886,competencia,n,4.78,common,
887,debajo,adv pr,4.78,common,
888,facultad,n,4.78,common,
889,generación,n,4.78,common,
890,gestión,n,4.78,common,
